comedians,bios
alice wetterlund,"[['non-yelling', 'official', 'original', 'opposite', 'upcoming'], [], [], ['Alice', 'Wetterlund', 'Wetterlund', 'Comedy', 'Central', 'Campus', 'Girl', 'Code/Guy', 'Code', 'Campus', 'New', 'Face', 'Just', 'Laughs', 'Comedy', 'Festival', 'Montreal', 'FOX', '’', 'Night', 'Comedy', 'FOX', '’', 'New', 'Girl', 'Amazon', 'Betas', 'MTV', '’', 'Girl', 'Code', 'Comedy', 'Central', '’', '@', 'Alice', 'Sony', 'Interview', 'HBO', '’', 'Silicon', 'Valley', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'UCB', 'Show', 'Seeso', 'Alice', 'TBS', 'People', 'Earth', 'Zac', 'Efron', 'Adam', 'Devine', 'Anna', 'Kendrick', 'Twentieth', 'Century', 'Fox', '’', 'Mike', 'Dave', 'Need', 'Wedding', 'Dates'], [], ['nationally', 'frequently', 'currently', 'also', 'as', 'well', 'next'], [], []]"
alingon mitra,"[['stand-up', 'comedian', 'tight', 'original', 'affable', 'Last', 'Comic', 'public', 'same'], [], [], ['Alingon', 'Mitra', 'NBC', 'Standing', 'Alingon', '“', 'Comic', 'Comeback', '”', 'Late', 'Show', 'Stephen', 'Colbert', 'Conan', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Adam', 'Devine', 'House', 'Party', 'Comedy', 'Central', 'Alingon', 'Daily', 'Show', 'Trevor', 'Noah', 'Adam', 'Ruins', 'Everything', 'Alingon', 'New', 'Faces', 'Comedy', 'Montreal', 'Just', 'Laughs', 'Comedy', 'Festival', 'Boston', 'Comedy', 'Festival', 'Funniest', 'Comic', 'New', 'England', 'Alingon', 'Harvard', 'Lampoon'], [], ['first', 'also'], [], []]"
amy schumer,"[['unapologetic', 'executive', 'popular', 'premiere', 'provocative', 'wicked', 'full', 'general', 'scripted', 'stand-up', 'man-on-the-street', 'first', 'one-hour', 'special', 'one-hour', 'stand-up', 'special', 'original', 'stand-up', 'special', 'featured', 'memorable', 'quotable', 'such', 'acclaimed', 's', 'third', 'independent', 'opposite', 'album', 'top', 'multiple'], [], ['funniest', 'freshest', 'highest', 'highest', 'guest'], ['Amy', 'Schumer', 'Schumer', 'Emmy', 'Peabody', 'Award', 'Inside', 'Amy', 'Schumer', 'Comedy', 'Central', 'April', '’', 'Schumer', '’', 'Schumer', 'Girl', 'Lower', 'Back', 'Tattoo', 'New', 'York', 'Times', 'Bestseller', 'HBO', 'Amy', 'Schumer', 'Apollo', 'Chris', 'Rock', 'Schumer', '’', 'Comedy', 'Central', 'Mostly', 'Sex', 'Stuff', '’', 'Comedy', 'Central', '’', 'Roast', 'Roseanne', 'Roast', 'Charlie', 'Sheen', 'FX', '’', 'Louie', 'HBO', '’', 'Girls', 'Schumer', 'Adult', 'Swim', '’', 'Delocated', 'Curb', 'Your', 'Enthusiasm', 'Trainwreck', 'Judd', 'Apatow', 'Additional', 'World', 'Steve', 'Carrell', 'Kiera', 'Knightley', 'Price', 'Check', 'Parker', 'Posey', 'Sundance', 'Film', 'Festival', 'Cutting', 'Billboard', 'Charts', 'Best', 'Comedy', 'Albums'], [], ['hilariously', 'recently', 'already', 'also', 'also', 'recently', 'critically', 'Previously', 'as', 'well'], [], ['most']]"
kevin smith,"[['comedian', 'numerous', 'Life', 'vast', 'personal'], [], ['most'], ['Q', 'A', 'A', 'Kevin', 'Smith', 'Clerks', 'Chasing', 'Amy', 'Dogma', 'Jay', 'Silent', 'Bob', 'Strike', 'Back', 'Red', 'State', 'Tusk', 'Kevin', 'AMC', '’', 'Comic', 'Book', 'Men', 'Silent', 'Bob', 'Speaks', 'Shootin', 'Sh*t', 'Kevin', 'Smith', 'My', 'Boring-Ass', 'Life', 'Tough', 'Advice', 'Fat', 'Lazy', 'Slob', 'Who', 'Did', 'Good', 'Kevin', 'Smith', 'Jay', 'Silent', 'Bob', 'Get', 'Old', 'Live', 'Podcast', 'Get'], [], ['recently', 'daily', 'close', 'here'], [], []]"
atwwd podcast,"[['paranormal', 'paranormal', 'true', 'wine-filled', 'bone-chilling', 'true', 'scary', 'available'], [], [], ['LIVE', 'PODCAST', 'RECORDING', 'Murder', 'Christine', 'Schiefer', 'Em', 'Schulz', 'Join', 'Em', 'Christine', 'VIP', 'VIP', 'Meet', 'Greet'], [], ['finally'], [], []]"
andrew orvedahl,"[['stand-up', 'last', 'fifteen', 'Last', 'observational', 'true', 'top', 'hard', 'new'], [], [], ['Andrew', 'Orvedahl', 'Denver', 'Colorado', 'Tonight', 'Show', 'Starring', 'Jimmy', 'Fallon', 'Carson', 'Daly', 'Flophouse', 'Vice', 'Who', 'TruTV', 'Andrew', 'Hit', 'Dick', 'Lights', 'Time', 'Out', 'New', 'York', 'Spotify', 'Currently', 'Andrew', 'Los', 'Angeles', 'Denver'], [], ['as', 'well', 'also', ""n't""], [], []]"
andrew santino,"[['popular', 'frequent', 'Showtime', 'hour-long', 'stand-up', 'special', 'Comedy', 'standup', 'regular', 'stand-up', 'numerous'], ['More'], [], ['Andrew', 'Santino', 'Joe', 'Rogan', 'Denver', 'Bellco', 'Theatre', 'August', 'Santino', 'Andrew', 'FX', 'Lil', '’', 'Dicky', 'Showtime', 'Jim', 'Carey', 'Jonathan', 'Levine', 'Game', 'Over', 'Man', 'Workaholics', 'Santino', 'ABC', '’', 'Mixology', 'Andrew', 'Whiskey', 'Ginger', 'Joe', 'Rogan', 'Experience', 'Home-Field', 'Advantage', 'Central', 'Comedy', 'Central', 'Records', 'Andrew', 'Chris', 'Hardwick', 'Adam', 'Devine', 'House', 'Party', 'Conan', 'Meltdown', 'Jonha', 'Kumail', 'Montreal', '’', 'Just', 'Laughs', 'Fest', 'SXSW', 'Please'], [], ['Now', 'm', 'Here', 'also', 'Previously', 'No', 'as', 'well'], [], []]"
andrew schulz,"[['native', 'hilarious', 'unapologetic', 'conventional', 'idiotic', 'brilliant', 'hysterical', 'available', 'numerous', 'popular', 'co-hosted', 'hilarious', 'social', 'high'], [], [], ['Monster', 'Energy', 'Outbreak', 'Andrew', 'Schulz', 'Matador', 'A', 'New', 'Yorker', 'Andrew', 'Schulz', 'Schulz', 'NYC', 'Benders', 'Netflix', 'Amazon', '’', 'Sneaky', 'Pete', 'HBO', 'Crashing', 'Hulu', 'Johnny', 'Andrew', 'Feast', 'Seven', 'Fishes', 'Female', 'Brain', 'David', 'Gordon', 'Green', '’', 'Halloween', 'Schulz', 'MTV', 'Guy', 'Code', 'Girl', 'Code', 'Uncommon', 'Sense', 'Schulz', 'Brilliant', 'Idiots', 'Charlamagne', 'God', 'Flagrant', 'Westerbros', 'Schulz', 'Follow', '@', 'AndrewSchulz'], [], ['internationally', 'often', 'always', 'now', 'as', 'well', 'also', 'additionally', 'wildly', 'nationally', 'also', 'as', 'well'], [], []]"
anjelah johnson,"[['huge', 'successful', 'viral', 'original', 'such', 'musician', 'first', 'one-hour', 'second', 'one-hour', 'available', 'third', 'special'], [], ['guest'], ['NFL', 'Cheerleader', 'Anjelah', 'Johnson', 'Nail', 'Salon', 'Johnson', 'MADtv', 'Internet', '“', 'Bon', 'Qui', 'Qui.', '”', 'Anjelah', 'Shield', 'Ugly', 'Betty', 'Curb', 'Your', 'Enthusiasm', 'Johnson', 'Family', 'Wedding', 'Alvin', 'Squeakuel', 'Enough', 'Said', 'Mom', '’', 'Night', 'Out', 'Anjelah', 'Manwell', 'Reyes', 'Group', 'Crew', 'June', 'Anjelah', 'Comedy', 'Central', 'Warner', 'Records', '’', 'How', 'Homecoming', 'Show', 'NUVOtv', 'July', 'Netflix', 'DVD', 'Anjelah', 'Fancy'], ['Brothers'], ['fast', 'worldwide', 'also', 'not', 'only', 'also', 'currently', 'Not'], [], ['most']]"
anjelah johnson,"[['huge', 'successful', 'viral', 'original', 'such', 'musician', 'first', 'one-hour', 'second', 'one-hour', 'available', 'third', 'special'], [], ['guest'], ['Comedy', 'Works', 'Entertainment', 'Anjelah', 'Johnson', 'Tour', 'LIVE', 'Paramount', 'Theatre', 'NFL', 'Cheerleader', 'Anjelah', 'Johnson', 'Nail', 'Salon', 'Johnson', 'MADtv', 'Internet', '“', 'Bon', 'Qui', 'Qui.', '”', 'Anjelah', 'Shield', 'Ugly', 'Betty', 'Curb', 'Your', 'Enthusiasm', 'Johnson', 'Family', 'Wedding', 'Alvin', 'Squeakuel', 'Enough', 'Said', 'Mom', '’', 'Night', 'Out', 'Anjelah', 'Manwell', 'Reyes', 'Group', 'Crew', 'June', 'Anjelah', 'Comedy', 'Central', 'Warner', 'Records', '’', 'How', 'Homecoming', 'Show', 'NUVOtv', 'July', 'Netflix', 'DVD', 'Anjelah', 'Fancy'], ['Brothers'], ['Technically', 'Not', 'fast', 'worldwide', 'also', 'not', 'only', 'also', 'currently', 'Not'], [], ['most']]"
